Organization Name,Industries,Headquarters Location,Description,CB Rank (Company)
Recycling Technologies,"Environmental Consulting, Environmental Engineering, Recycling, Waste Management","Swindon, Wiltshire, United Kingdom",Recycling Technologies specializes in waste management and engineering processes and helps customers achieve financial gains from waste.,30072
ManyPets,"Finance, Insurance, InsurTech, Pet","London, England, United Kingdom",ManyPets provides pet health and insurance services.,30073
Scholars,"Employment, Information Technology, Software","Denver, Colorado, United States",Scholars is an early-career retention platform that predict and prevent employee turnover for companies.,30074
OfferZen,Information Technology,"Cape Town, NA - South Africa, South Africa",OfferZen is a platform to get competing job offers from top South African tech companies.,30075
Scantrust,"Consulting, Fashion, Fraud Detection, Internet of Things, Marketing, Pharmaceutical, Security, Supply Chain Management","Lausanne, Vaud, Switzerland","A connected goods and packaging platform providing Active Brand Protection, Supply Chain Awareness, and Consumer Engagement benefits.",30076
Slapdash,"Information Technology, Internet, Software","San Francisco, California, United States",A unified interface for cloud applications,30077
Pow.bio,"Biotechnology, Genetics","Berkeley, California, United States",Pow.bio provides a genetically engineered solution for fermentation scientists.,30078
Goodpatch,"Human Resources, Mobile, Software, Task Management, Web Design, Web Development","Tokyo, Tokyo, Japan",Goodpatch is a Tokyo-based company developing and designing user interfaces for web companies.,30079
Pearler,"Finance, Financial Services, FinTech","Sydney, New South Wales, Australia",Pearler is an Aussie startup that simplifies investing for financial independence.,30080
10Web.io,"Information Technology, Software","Newark, Delaware, United States",Automated WordPress Platform,30081
LumiThera,"Health Care, Manufacturing, Medical, Medical Device","Poulsbo, Washington, United States",LumiThera is a medical device company focused on LED and laser treatments for acute and chronic ocular disease.,30082
Imbellus,"Analytics, Human Computer Interaction, Software","Los Angeles, California, United States","Imbellus builds cognitive assessments that measure how people think, not just what they know.",30083
Sinergy Flow,"Battery, Energy, Energy Efficiency, Energy Storage","Milano, Lombardia, Italy",Sinergy Flow enables the energy transition by developing redox flow batteries for energy storage.,30084
Tremor,"Information Technology, Insurance","Boston, Massachusetts, United States","Tremor designs, builds & manages markets that utilize auction technologies and optimization techniques to improve price and cost efficiency.",30085
Shape,"3D Technology, Artificial Intelligence, Computer Vision, Fitness, Health Care, Health Diagnostics, Machine Learning, Personal Health, Quantified Self, Wellness","San Francisco, California, United States",ShapeScale combines computer vision and 3D into a new form of measuring health and fitness.,30086
Fin Capital,"Enterprise Software, Financial Services, FinTech, SaaS, Venture Capital","San Francisco, California, United States",Fin is an asset management firm investing full lifecycle in FinTech and adjacent verticals in principally B2B enterprise SaaS companies.,30087
GreenPocket,"Artificial Intelligence, Data Visualization, Energy Efficiency, Energy Management, GreenTech, Information Technology, Machine Learning, Renewable Energy, Smart Home, Software","Cologne, Nordrhein-Westfalen, Germany",GreenPocket is a leading specialist for consumption visualization and energy management.,30088
Qustodio,"Children, EdTech, Parenting, Security, Software","Barcelona, Catalonia, Spain",Qustodio is a leading platform providing digital safety and wellbeing to families and schools worldwide.,30089
Angel Host,"Property Management, Rental, Rental Property, Vacation Rental","Montréal, Quebec, Canada","Angel Host is a data-driven, tech-enabled rental-maximization company.",30090
KitchenMate,"Consumer Electronics, Food and Beverage, Internet of Things","Toronto, Ontario, Canada","Reshaping your food experience with the only automated restaurant for your workplace. Stay safe, stay on-site with real food, cooked anytime",30091
PayPal Ventures,"Asset Management, Business Development, Financial Services, FinTech, Venture Capital","San Jose, California, United States","PayPal Ventures is a corporate VC, investing in financial services, commerce enablement, and data and infrastructure companies.",30092
LianAn Technology,"Blockchain, Information Technology","Chengdu, Sichuan, China",LianAn Technology is a Blockchain company.,30093
Bank Jasa Jakarta,Financial Services,"Jakarta, Jakarta Raya, Indonesia",Bank Jasa Jakarta provides solutions for the financial needs of its customers & maintains the achievement of positive financial performance.,30094
cofenster,"Software, Video, Video on Demand","Hamburg, Hamburg, Germany",cofenster is a video software company that enables to quickly and easily create videos in-house.,30095
masii,"Auto Insurance, Financial Services, FinTech, Insurance","Bang Kapi, Samut Prakan, Thailand",Thailand's #1 site to compare insurance and credit cards,30096
AxonIQ,"Communications Infrastructure, Information Technology, Software","Amsterdam, Noord-Holland, The Netherlands",AxonIQ is an Amsterdam-based provider of a software platform for event-based microservices systems.,30097
Kalogon,"Internet of Things, Manufacturing, Medical Device, Product Design","Rockledge, Florida, United States",Kalogon is a company that manufactures and sells smart cushions for wheelchair users.,30098
You.i TV,"Enterprise Software, Media and Entertainment, News, Software, TV","Ottawa, Ontario, Canada","You.i TV offers a software development kit for Streaming Video apps across mobile, tablet, game consoles, streaming devices, and Smart TVs.",30099
EQIBank,"Banking, Blockchain, Cryptocurrency, Financial Services, FinTech","Roseau, Saint George, Dominica",EQIBank is a global digital banking that provides traditional banking services for corporates and businesses.,30100
Block Green,"Blockchain, Cryptocurrency, Data Mining","Zug, Zug, Switzerland",Block Green is a cryptocurrency platform that uses the DeFi blockchain to provide green crypto mining solutions based on renewable energy.,30101
TransThera Biosciences,"Biotechnology, Life Science","Nanjing, Jiangsu, China","TransThera Biosciences is a biotech company that specializes in the treatment of oncology, cardiovascular, and inflammatory diseases.",30102
Kaizen Health,"Health Care, Service Industry, Transportation","Chicago, Illinois, United States",Kaizen Health connects healthcare and transportation to increase access to healthcare.,30103
New Horizon Health,"Big Data, Biotechnology, Health Care, Medical","Beijing, Beijing, China",New Horizon Health is a bio-tech company focusing on early screening and genetic testing services for high-incidence cancer homes.,30104
myNEXUS,"Health Care, Home Health Care, Hospital, Medical","Brentwood, Tennessee, United States",myNEXUS is a healthcare management system that enables doctors to remotely monitor their patients’ health.,30105
Rebellion Pay,"Financial Services, FinTech, Mobile","Madrid, Madrid, Spain",Neobank of the Gen Z and Millenial generations,30106
alder,"E-Commerce, Fashion, Women's","Toronto, Ontario, Canada","alder apparel is an e-commerce, direct to consumer line of outdoor apparel designed for women.",30107
Ryp Labs,"Agriculture, Biotechnology, Food and Beverage, Medical, Robotics","Kirkland, Washington, United States",Ryp Labs develops and commercializes technologies that focuses on reducing food waste.,30108
Cable,"Compliance, Finance, FinTech, Information Services, Risk Management","London, England, United Kingdom",The leader in automated financial crime assurance.,30109
Infurnia Holdings Limited,"Architecture, Furniture, Interior Design, Software","Bengaluru, Karnataka, India",Infurnia Holdings Limited is a technology company that develops cloud-based architecture design software.,30110
PHYSEE Technologies,"Architecture, CleanTech, Energy, Renewable Energy, Smart Building","Delft, Zuid-Holland, The Netherlands",PowerWindow is an energy-producing light-tinted window that generates electricity by combining three existing technologies.,30111
FLYR Labs,"Air Transportation, Analytics, Artificial Intelligence, Big Data, Machine Learning, Predictive Analytics","San Francisco, California, United States",FLYR Labs develops the Cirrus Revenue Operating System™ to help airlines make informed decisions.,30112
Gala Therapeutics,"Health Care, Medical, Medical Device","Menlo Park, California, United States",Gala Therapeutics is a privately-held medical device company developing disease-modifying therapies to improve survival for patients.,30113
Elate,"Computer, Productivity Tools, Software","Indianapolis, Indiana, United States",Elate is an operations platform designed to reach business outcomes by unifying internal technologies and disparate data.,30114
Silot,"Artificial Intelligence, Banking, Financial Services, FinTech, Information Services, Information Technology, Machine Learning","Singapore, Central Region, Singapore",Silot is a Singapore-based Fintech startup that empowers banks with a fast and scalable AI platform.,30115
Ecare,"Health Care, Information Technology, Software","Enschede, Overijssel, The Netherlands",Ecare develops innovative software for the healthcare sector. ,30116
Mercon Coffee Group,"Coffee, Food and Beverage, Food Processing","Coral Gables, Florida, United States","Mercon has vast experience in the coffee sector, including growing, production, trading, marketing, logistics, and risk management.",30117
Sensio Air Inc.,"Analytics, Hardware, Health Care, Internet of Things, Personal Health, Predictive Analytics","Sunnyvale, California, United States",Sensio Air is a healthcare analytics company that helps people with asthma and allergy predict prevent and manage their symptoms.,30118
Spinergie,Oil and Gas,"Paris, Ile-de-France, France",Spinergie digitizes vessel operations to enable better marketing decisions and generate efficiency.,30119
Plus Products,"Cannabis, Consumer Goods, Food and Beverage, Manufacturing, Product Search","Walnut, California, United States",Plus Products manufactures dosed CBD gummies with zero THC delivered to customers doorstep.,30120
Halo Car,"Automotive, Electronics, SaaS, Software, Transportation","Portland, Oregon, United States",Halo is a software company that connects fleets and automotive service providers.,30121
Kennedy Wilson,"Finance, Financial Services, Real Estate","Beverly Hills, California, United States",Kennedy Wilson is a vertically integrated global real estate investment and services company.,30122
Fon,"Information Technology, Internet, Wireless","Madrid, Madrid, Spain",Fon is a WiFi provider. It is driven by a community WiFi approach.,30123
Itheum,"Analytics, Big Data, Blockchain, Pharmaceutical","Australia, Isabela, Philippines",As we enter the web3 and metaverse era; Itheum unlocks data silos and generates new value for your data.,30124
GrayMeta,"Artificial Intelligence, Content Discovery, Digital Media, Enterprise Software, Information Technology, Quality Assurance, Software, Video","Beverly Hills, California, United States",GrayMet dramatically improves efficiencies by automating the creation of metadata with an innovative approach to extracting rich metadata.,30125
Shyft,Blockchain,"Bridgetown, Saint Michael, Barbados",Shyft's blockchain-based network is building unbreachable data protection for industry.,30126
Intergalactic Therapeutics,"Biotechnology, Life Science, Therapeutics","Boston, Massachusetts, United States","Intergalactic Therapeutics is an ATP company, is revolutionizing gene therapies with a novel non-viral platform.",30127
Freecracy Việt Nam,"Artificial Intelligence, Employment, Human Resources, Machine Learning, Recruiting, SNS, Software","Ho Chi Minh City, NA - Vietnam, Vietnam",freeC is a recruitment platform that integrates smart AI technology.,30128
Rocky Mountain Institute,"Career Planning, Education, Non Profit, Renewable Energy","Snowmass, Colorado, United States","Rocky Mountain Institute is an independent, non-partisan nonprofit that drives the efficient and restorative use of resources.",30129
Nexient,"Big Data, Information Technology, IT Management, Mobile Apps, Outsourcing, Software, UX Design","Newark, California, United States",Nexient is America’s largest 100 percent U.S.-based software services provider.,30130
Proximity Insight,"CRM, Customer Service, Retail, SaaS","London, England, United Kingdom",Enterprise Retail SaaS Tech built on Salesforce.com,30131
UpLyft,Medical Device,"San Diego, California, United States",UpLyft is the first seated self-transfer system between bed and wheelchair for people with limited mobility.,30132
TrackMaven,"Advertising, Analytics, CRM, Marketing, Social Media Marketing","Washington, District of Columbia, United States",TrackMaven’s marketing analytics platform helps you prove ROI and improve results on 20+ digital channels.,30133
Eastern Standard Times,"Internet, Media and Entertainment, Video","West Hollywood, California, United States",Eastern Standard Times is a media platform sharing stories.,30134
Affectv,"Advertising, Auctions, Internet, Mobile, Software, Video","London, England, United Kingdom",Affectv is an advertising technology company that runs media campaigns for global brands.,30135
Lancey,"Information Technology, Software","Toronto, Ontario, Canada",Lancey assists marketing and sales teams in launching self-driving demonstrations.,30136
Riverain Technologies,"Health Care, Machine Learning, Medical Device, Software","Miamisburg, Ohio, United States",Riverain Technologies provides physicians with tools to assist in image interpretation.,30137
CycloMedia Technology,"Information Technology, Photography, Software","Waardenburg, Gelderland, The Netherlands",CycloMedia produces large-scale visualizations of the environment using 360 degree panoramic photographs (cycloramas).,30138
Skinny Butcher,"Consumer, Food and Beverage, Food Processing","Birmingham, Michigan, United States",Skinny Butcher is a food production company that produces and distributes plant-based meats to consumers.,30139
Yobs,"Consumer Software, Developer APIs, Human Resources, Information Technology","Los Angeles, California, United States","Instantly record, transcribe and analyze Zoom interviews to hire better, faster.",30140
Draslovka,"Chemical, Chemical Engineering","Tullamarine, Victoria, Australia",Draslovka is a chemical specialties and agricultural chemicals including next generation fumigants and biocides.,30141
e2log,"Logistics, Shipping, Transportation","Sugar Land, Texas, United States",E2log is a digital ecosystem for the door-to-door shipping of oversize cargoes.,30142
Retrotope,"Biotechnology, Health Care, Medical","Los Altos Hills, California, United States",Retrotope is a developer of a new category of drug platform to preserve and restore mitochondrial health in degenerative diseases.,30143
marketfeed,"Financial Services, FinTech, Trading Platform","Kochi, Kerala, India",Marketfeed develops a platform designed to teach users how to trade stocks.,30144
Alimak Group AB,"CRM, Information Technology, Machinery Manufacturing, Real Estate","Stockholm, Stockholms Lan, Sweden","Alimak Group is a supplier of elevators, platforms and after-market service for the industrial and construction sectors.",30145
Media Radar,"Advertising, Internet, Market Research, Real Time","New York, New York, United States",MediaRadar was created to help publishers in all formats to improve sales and client management.,30146
Obatala Sciences,"Biotechnology, Health Care, Life Science","New Orleans, Louisiana, United States",Obatala Sciences is an assay  and research tool development tissue-chip company that specializes in fat-chips.,30147
CallApp,"Information Services, Mobile Apps, Service Industry, Software","Tel Aviv, Tel Aviv, Israel","CallApp enhances phone calls by providing information about the person you are talking to, as well as interactive tools.",30148
EAVISION,"Agriculture, Artificial Intelligence, Drones, Hardware","Suzhou, Jiangsu, China",EAVISION is a smart hardware company.,30149
ikaSystems,"Enterprise Software, Medical, Payments","Southborough, Massachusetts, United States",ikaSystems provides web-based enterprise resource planning technology for process automation and intelligence management.,30150
VANCL,"E-Commerce, Fashion, Sales","Dongchen, Jiangsu, China",VANCL is a privately held e-commerce company that operates as an online label fashion retailer.,30151
reNFT,,"Phoenix, Arizona, United States",reNFT is a rental protocol that enables lending and borrowing of NFTs.,30152
VelosBio,"Biotechnology, Health Care, Medical","San Diego, California, United States","VelosBio is a next-generation oncology company, developing novel antibody-drug conjugates  to treat haematological cancers.",30153
Voicy,"Content Creators, Content Delivery Network, Music","Rotterdam, Zuid-Holland, The Netherlands","Voicy is the online content platform for discovering, creating and sharing sound-clips and sound-effects on the internet.",30154
Magic Games,"Gaming, Mobile Apps, Online Games","Sisli, Istanbul, Turkey",Magic Games is a mobile gaming company with new genre of casual multiplayer puzzle games.,30155
Listia,"Auctions, E-Commerce","Mountain View, California, United States",Listia is an auction marketplace that uses a virtual credit system for bidding and trading goods.,30156
PlateJoy,"Health Care, Nutrition, Wellness","Cambridge, Massachusetts, United States", Discover your healthiest self - Personalized nutrition programs designed for your unique health goals,30157
Durect,"Biotechnology, Health Diagnostics, Pharmaceutical","Cupertino, California, United States","DURECT is a specialty pharmaceutical company developing innovative drugs for pain and chronic diseases, with late-stage development",30158
Visionary Machines,"3D Technology, Automotive, Autonomous Vehicles, Computer Vision, Electronics, Geospatial, Information Technology, Mapping Services, Software","Sydney, New South Wales, Australia",A revolution in 3D spatial sensing using camera arrays,30159
inSided,"Communities, Customer Service, Information Technology, Internet, Social CRM","Amsterdam, Noord-Holland, The Netherlands","inSided is a customer self service solution that scales support, and powers customer success for high growth companies.",30160
Snipd,"Apps, Artificial Intelligence, Information Technology, Media and Entertainment, Podcast","Zurich, Zurich, Switzerland","Snipd is an AI-powered podcast player to discover, highlight and share the best moments in podcasts.",30161
TruEra,"Artificial Intelligence, Information Technology, Machine Learning, Software","Redwood City, California, United States","Truera provides AI quality management solutions that evaluate, optimize, and monitor machine learning models.",30162
Spotted,"Apps, Computer, Mobile, Social Impact, Software","Mannheim, Baden-Wurttemberg, Germany",Spotted is a hyperlocal app about making new connections with awesome people from your everyday life.,30163
Hex Trust,"Banking, Blockchain, Cloud Infrastructure, Cryptocurrency, Financial Services, FinTech, IT Infrastructure","Hong Kong, Hong Kong Island, Hong Kong",Hex Trust is a fully-licensed and insured provider of bank-grade custody for digital assets.,30164
Eco Wave Power,"Energy, Manufacturing, Product Design, Wind Energy","Tel Aviv, Tel Aviv, Israel",Eco Wave Power is an Israel-based company that provides EWP energy devices and solutions.,30165
Upscribe,"E-Commerce, Software","Los Angeles, California, United States",Powering the next generation of subscription eCommerce.,30166
LoneStar,"Civil Engineering, Construction, Renewable Energy, Service Industry","Midland, Texas, United States","LoneStar is a pipeline contractor that offers pipeline construction, maintenance and integrity, renewable energy, and drilling services.",30167
Markerstudy Group,Auto Insurance,"Chesterfield, Derbyshire, United Kingdom",Markerstudy Group is an energetic and innovative company.,30168
Flexion Therapeutics,"Biotechnology, Health Care, Therapeutics","Woburn, Massachusetts, United States",Flexion Therapeutics is a biotechnology company that develops long-lasting intra-articular injection therapies to treat osteoarthritis.,30169
Acid League,Food and Beverage,"Dundas, Ontario, Canada","Acid League creates flavor-tripping vinegar, drinks, sauces, condiments, and more.",30170
Tenderly,"Blockchain, Developer Platform, Developer Tools, Information Technology, Internet, Software","Belgrade, Vojvodina, Serbia",Ethereum developer platform that enables you to build innovative blockchain products,30171
Cent,"Blockchain, Content Creators, Cryptocurrency, Social Network",,Cent is a platform for creative income.,30172
Angle Protocol,"Cryptocurrency, Financial Services","Menlo Park, California, United States",Angle Protocol focus on offering stablecoins pegged to currencies.,30173
OhMD,"Electronic Health Record (EHR), Health Care, Messaging, mHealth","Burlington, Vermont, United States",OhMD is a modern patient experience and HIPAA compliant texting and telehealth platform that patients love.,30174
The Center,"Beauty, Cosmetics","West Hollywood, California, United States","The Center's capacity to establish, define, and promote beauty brands is based on its profound expertise of forecasting consumer trends.",30175
MNTN,"Advertising, Marketing, Real Time, Software","Culver City, California, United States","MNTN provides advertising software for direct marketers, agencies, and brands of all sizes.",30176
AdaptX,"Analytics, Artificial Intelligence, Health Care, Hospital, Medical","Seattle, Washington, United States",AdaptX is a clinical management platform that delivers analytics and AI to hospitals and surgery centers.,30177
mediVR,"Health Care, Medical Device","Osaka, Osaka, Japan","mediVR  is a Medical equipment which applies the video technology of Virtual Reality, etc.",30178
Miss Group,"Internet, SEO, Software, Web Hosting","Manchester, Manchester, United Kingdom","Miss Group is a hosting company that offers web hosting, VPS, domain registration, SEO tools, web security, and more.",30179
Nebula Microsystems Inc.,Manufacturing,"Richardson, Texas, United States",Nebula Microsystems Inc’s mission is to deliver intelligent and high-performance Analog Products for a wide variety.,30180
Alpine Bank,"Banking, Financial Services, Insurance, Venture Capital","Glenwood Springs, Colorado, United States","Alpine Bank is a bank providing banking, wealth management, and mortgage services.",30181
Spin Memory,"Data Storage, Hardware, Software","Boston, Massachusetts, United States",Spin Transfer Technologies develops its orthogonal magnetoresistive random access memory technology.,30182
GMetri,"Augmented Reality, Information Technology, SaaS, Software, Virtual Reality","Lewes, Delaware, United States","GMetri is an XR platform for businesses to create, track, and deploy solutions for Virtual, Mixed, and Augmented Reality.",30183
"Gazillion, Inc.","MMO Games, Mobile, Online Games, Virtual Reality","Foster City, California, United States",Gazillion is a privately held developer and publisher of online and mobile games.,30184
SEQL,"Apps, Mobile Apps, Sports","Richmond, Virginia, United States","A for-profit sports social impact company backed by DeAndre Hopkins, Megan Walker, Barry Sanders, Quinn Cook, Ryan Clark and Nancy Lieberman",30185
Neurobotx,"Air Transportation, Artificial Intelligence, Autonomous Vehicles, Image Recognition, Information Technology, Internet of Things, Natural Language Processing, Neuroscience, Software, Virtual Reality","Dubai, Dubai, United Arab Emirates","Neurobotx is a team of some of the world's brightest minds in neuroscience, VR, AI and robotics building the ultimate cognitive metaverse.",30186
Bodyswaps,"Artificial Intelligence, E-Learning, EdTech, Education, Machine Learning, SaaS, Software, Training, Virtual Reality","London, England, United Kingdom",Bodyswaps is a B2B immersive learning platform (VR SaaS) designed to deliver effective and scalable soft skills training.,30187
The Abyss,"Blockchain, Cryptocurrency, Gamification, Gaming, MMO Games, Online Games, PC Games, Software, Video Games","Zug, Zug, Switzerland",The Abyss is a next-generation digital distribution platform.,30188
Innocare,"Biotechnology, Health Care, Pharmaceutical","Changping, Beijing, China",InnoCare is a Chinese biopharmaceutical company that develops treatment for cancer and autoimmune diseases. ,30189
Wyebot,"Computer, Network Hardware, Wireless","Marlborough, Massachusetts, United States","Wyebot proactively analyzes WiFi networks, identifying and solving problems before they cause damaging downtime.",30190
Felix Gray,"Eyewear, Fashion, Health Care","New York, New York, United States",Felix Gray provides eyewear protecting against digital eye strain.,30191
The Convo Space,"Blockchain, Software","New Delhi, Delhi, India",The Decentralized Conversation Layer of Internet,30192
onepredict,"Artificial Intelligence, Enterprise Software, Industrial, Machine Learning, Predictive Analytics, Software","Seoul, Seoul-t'ukpyolsi, South Korea","Big Data, Data Science, Machine Learning, Cloud Computing, Enterprise Software Solutions",30193
Deepak Fertilisers,"Agriculture, Chemical, Manufacturing","Mumbai, Maharashtra, India",Deepak Fertilisers is a manufacturing agency that produces fertilizers and industrial chemicals.,30194
Curam,"Health Care, Hospital, Professional Services","London, England, United Kingdom",Curam is a carer platform that provides affordable quality care to everyone.,30195
Snap It Limited,"Building Material, Last Mile Transportation, Logistics, Marketplace, Retail Technology, Software","London, England, United Kingdom","Snap It is building materials procurement, sourcing & instant delivery app for trades people on the go.",30196
Likvido,"Accounting, Debt Collections, Financial Services, FinTech","Copenhagen, Hovedstaden, Denmark",Freeing SMEs to focus on what matters by automating Accounts Payables & Receivables,30197
Cloudprinter.com,"Developer APIs, E-Commerce, Personalization, Printing","Barendrecht, Zuid-Holland, The Netherlands","Connect your app, content, business or any application to printed products around the world through the Cloudprinter.com print API.",30198
Two Platforms,Artificial Intelligence,"Campbell, California, United States",TWO is an Artificial Reality company building interactive and immersional AI experiences beyond text and voice.,30199
Moovaz,"Content Delivery Network, Delivery Service, Human Resources, Information Technology, Internet, Lifestyle, Logistics","Singapore, Central Region, Singapore","Moovaz is a proven all-encompassing relocation service for the modern global citizen, making relocation seamless and fuss-free.",30200
Frich,FinTech,"New York, New York, United States",First Social Finance App for Gen Z,30201
Base,"Productivity Tools, SaaS, Software, Virtual Assistant","Greenville, South Carolina, United States",Base is a software platform built specifically for executive assistants.,30202
Harmay,"Cosmetics, E-Commerce","Beijing, Beijing, China",Harmay is a high-end cosmetics e-commerce platform.,30203
Meliora Therapeutics,"Biotechnology, Therapeutics","San Francisco, California, United States",Meliora Therapeutics is a biotech startup that is developing a machine learning-driven platform.,30204
DNAtriX,"Biotechnology, Health Care, Medical","Houston, Texas, United States",DNAtriX is a biotechnology company developing an oncolytic virus platform for treating malignant glioma.,30205
Pylon,"Automotive, Manufacturing","Deerfield Beach, Florida, United States",Pylon Manufacturing Corporation is a leading automotive aftermarket supplier with nearly 40 years of experience.,30206
Copilot.cx,"Cloud Computing, Computer, Consumer Electronics, Information Technology, Internet, Internet of Things, SaaS, Software","New York, New York, United States",Copilot.cx is an automated customer experience platform for connected consumer products,30207
AccountsIQ,"Accounting, Finance, Financial Services, SaaS, Small and Medium Businesses, Software","Blackrock, Dublin, Ireland",AccountsIQ is a provider of a financial management software platform for mid-market SMEs with multiple subsidiaries and branches.,30208
Bluzelle,"Bitcoin, Blockchain, Database, Software","Singapore, Central Region, Singapore","Bluzelle offers a complete and fully integrated stack of blockchain applications, middleware and data services.",30209
WonderLab,"Children, Education, Information Technology","Hongo, Tokyo, Japan",WonderLab is a company that develops and operates educational materials and content.,30210
Mosa Meat,"Agriculture, Food and Beverage, Food Processing","Maastricht, Limburg, The Netherlands",Mosa Meat is a food technology company that produces a slaughter-free hamburger made directly from cow cells.,30211
Ross Video,"Photography, Professional Services","Iroquois, Ontario, Canada","Ross Video designs, manufactures and supports a wide range of innovative products for use in video production applications.",30212
Cluey Learning,Education,"Sydney, New South Wales, Australia",Cluey Learning is an Edtech startup.,30213
QwikSkills,"E-Learning, EdTech, Education","Delhi, Delhi, India",QwikSkills is an E-Learning platform offers online courses with cloud certification.,30214
Criquet Shirts,"E-Commerce, Fashion, Lifestyle, Men's","Austin, Texas, United States","Criquet Shirts is a manufacturer of vintage-inspired golf shirts, polos, button-downs, and sweaters for men, women, and children.",30215
Akums Drugs& Pharmaceuticals,"Health Care, Manufacturing, Medical, Pharmaceutical","New Delhi, Delhi, India",Akums Drugs & Pharmaceuticals contract manufacturing pharmaceutical company.,30216
Trefoil Therapeutics,"Biotechnology, Health Care, Therapeutics","San Diego, California, United States",Trefoil is a biotechnology company that brings forward novel engineered FGF-1 compounds to treat endothelial cell mediated diseases.,30217
Visionular,"Cloud Computing, PaaS, SaaS, Video, Video Streaming","Los Altos, California, United States",Visionular provides cloud based video processing solutions to enterprise customers.,30218
Sanolla,"Big Data, Health Care, Health Diagnostics, Medical Device","Nesher, Hefa, Israel",Sanolla is a smart infrasound-based diagnostics solutions for physicians and patient self-assessment.,30219
ComputeCoin,"Blockchain, Cloud Infrastructure, Cryptocurrency","New York, New York, United States",ComputeCoin is a geo-distributed computing platform that facilitates all-purpose Web3 and Metaverse services.,30220
BlockEx,"Asset Management, Financial Services, FinTech","London, England, United Kingdom",BlockEx is a digital asset exchange platform.,30221
Khelgully Gaming Pvt Ltd,,"Bangalore, Karnataka, India",We are building future of eSports community. One platform to bring them all together.,30222
Rivia Health,"Financial Services, Health Care, Medical, Mobile Apps, Mobile Payments, Payments, Personal Finance, SaaS, Software","Phoenix, Arizona, United States",Rivia Health brings efficiency to healthcare patient payments.,30223
SecondSight,"Cyber Security, Digital Marketing, Insurance, Risk Management, Software","Bloomington, Indiana, United States","SecondSight is transforming the way digital risk is discovered, quantified, hedged and insured.",30224
Fillogic,"Logistics, Retail, Supply Chain Management","New York, New York, United States",Fillogic is a New York-based technology company that  provides retail and logistics services.,30225
Doctor.One,Health Care,"Warsaw, Mazowieckie, Poland","Doctor.One is a next generation virtual clinic, helping any doctor build a subscription-based private practice.",30226
Linguix,"Artificial Intelligence, Education, Information Technology, Language Learning, Natural Language Processing, Software, Text Analytics","Miami, Florida, United States",Linguix is an AI-based writing assistant that eliminates spelling issues in English texts anywhere on the web.,30227
Coherent Path,"Analytics, Big Data, Digital Marketing, Email Marketing, Personalization, SaaS","Boston, Massachusetts, United States",Coherent Path provides personalization and predictive analytics solutions that enable retailers to focus engagement around strategic goals.,30228
Clumio,"Computer, SaaS, Software","Santa Clara, California, United States",Clumio is a data backup and recovery software-as-a-service (SaaS) provider.,30229
The Acrelec Group,"Information Technology, Outdoors, Software","Pittsburgh, Pennsylvania, United States","The Acrelec Group provides integrated solutions that include kiosks, digital displays, order confirmation boards.",30230
Ubco,"AgTech, Automotive, Electric Vehicle, Manufacturing, Software, Transportation","Otumoetai, Bay of Plenty, New Zealand","Ubco is a New Zealand-based tech company that designs, develops and distributes Utility Electric Vehicles (UEVs) and Portable Power Supplies",30231
eezylife Inc.,Information Technology,"New York, New York, United States",Your proactive life navigator – powered by sentient A.I. technology,30232
APAC Financial Services,"Finance, Financial Services, FinTech","Mumbai, Maharashtra, India",APAC Financial Services is a financial services platform.,30233
Intramotev,"Autonomous Vehicles, Freight Service, Logistics, Railroad","St Louis, Missouri, United States",Intramotev manufactures self-propelled battery-electric railcars to advance the future of freight movement.,30234
Kopykitab.com,"E-Learning, EBooks, EdTech, Education","Bangalore, Karnataka, India","Kopykitab is an India-based digital library that provides eBooks, and digital content in school and higher education.",30235
Genera Energy,"Biotechnology, Clean Energy, Energy","Vonore, Tennessee, United States","Genera Energy provides integrated biomass supply solutions for the advanced biofuels, biopower, and bio-based products industries.",30236
Taoglas,"Information Technology, Internet of Things, Wireless","Wexford, Wexford, Ireland",Taoglas provides antenna products and RF service solutions for the IOT brands.,30237
Mercê do Bairro,Retail Technology,"São Paulo, Sao Paulo, Brazil",Mercê do Bairro is a virtual retail chain that offers digital solutions to help small grocery stores increase revenue and cut costs.,30238
Zero Emission Industries,"Clean Energy, CleanTech, Energy","Alameda, California, United States",Zero Emission Industries offers a complete range of hydrogen powered energy systems.,30239
StarClinch,"E-Commerce, Marketplace, Media and Entertainment, Performing Arts","New Delhi, Delhi, India",StarClinch is an online marketplace of Live Entertainers,30240
Hopscotch,Health Care,"Boston, Massachusetts, United States",Hopscotch is a technology company for in-person and virtual pediatric behavioral healthcare.,30241
CVE,"Biomass Energy, Renewable Energy, Solar","Marseille, Provence-Alpes-Cote d'Azur, France","CVE provides renewable energies, photovoltaics, biogas, solar and environmental solutions to companies.",30242
Degreed,"Corporate Training, EdTech, Education, Skill Assessment, Software","Pleasanton, California, United States","Degreed is an upskilling platform where individuals and organizations can discover content, build skills, and certify expertise.",30243
Eraser,,"San Francisco, California, United States",Eraser is centered around a collaborative digital canvas for whiteboarding and note-taking,30244
Sober Grid,"Health Care, Home Health Care, Mobile Apps, Software","Boston, Massachusetts, United States",Sober Grid is a digital health application focused on creating mobile communities that  engage people into chronic disease management.,30245
